"Project Key (Existing Key, or type a brand new one to create a new project)",Project Name,Client Name,PM Name,Status,Deadline
made-dge-brackets,MADE : DGE Brackets,Private Client,,On track,26/08/2025
made-kalahari-md,MADE : Kalahari - MD,Private Client,,On track,17/04/2026
made-kalahari-flexiled-light-shield,MADE : Kalahari (Flexiled Light Shield),Private Client,,On track,23/07/2025
made-kenya,MADE : Kenya,ARRCC,,On track,07/07/2026
made-nettleton-brackets,MADE : Nettleton Brackets,Private Client,,On track,09/09/2025
made-nettleton-track-cover-plate,MADE : Nettleton Track / Cover Plate,Private Client,,On track,04/12/2025
made-pt-her-aroeir-lounge-ceiling-light-portugal,MADE : PT HER AROEIR - Lounge Ceiling Light (Portugal),ARRCC,,On track,21/05/2025
made-quay-7-ballroom-feature-light,MADE : Quay 7 (Ballroom Feature Light),Private Client,,On track,07/04/2026
made-singita-bats,MADE : Singita BATS,Private Client,,On track,09/03/2026
made-singita-quaggas,MADE : Singita Quagga's,Private Client,,On track,09/03/2026
made-waters-edge-top-hat-costing,MADE : Waters Edge - Top Hat Costing,BOSS Architects,,On track,12/09/2025
made-wilsworth-flexiled-reading-lights,MADE : Wilsworth (Flexiled Reading Lights),Private Client,,On track,26/02/2026
mantyla-general-lighting,Mantyla,Ellis & Associates Architects,,On track,13/10/2025
mathewson-general-lighting,Mathewson,Mr Torquil Mathewson,,On track,12/03/2026
md-led-lighting,MD - LED Lighting,Private Client,,On track,29/05/2026
mountain-house-ceiling-led,Mountain House,MRGB (Pty) Ltd,,On track,17/06/2026
muirfield-ave-design,Muirfield Ave,Private Client,,On track,25/04/2026
namibia-footlights,Namibia,Bone Studio,,On track,03/07/2026
nandos-blueprint-design-fee,Nando's Blueprint - Design Fee,CHICKENLAND (PTY) LTD,,On track,09/09/2025
nandos-central-kitchen-new-work-stations,Nando's Central Kitchen,CHICKENLAND PTY (LTD),,On track,19/06/2026
nandos-head-office-nano-spots-extras,Nando's Head Office,Chickenland Pty(Ltd),,On track,16/01/2026
nandos-stellenbosch-boh-kitchen-downlights-option-1,Nando's Stellenbosch,Chickenland Pty (Ltd),,On track,03/07/2026
nandos-tygervalley-design-fee,Nando's Tygervalley,Nando’s Chickenland (Pty) Ltd,,On track,01/06/2026
nandos-stellenbosch-interior-architectural-lighting,Nandos Stellenbosch,Chickenland Pty (Ltd),,On track,23/01/2026
nettleton-16,Nettleton 16,MRICS,,On track,25/10/2024
nettleton-38-product,Nettleton 38,Overvue,,On track,25/04/2026
ocean-electrical-art-spots,Ocean Electrical (Art Spots),Ocean Electrical,,On track,05/06/2026
og-showroom-track-spot,OG Showroom,Haptik (Pty)Ltd t\a Officine,,On track,13/02/2026
ollewagen-design-fee,Ollewagen,Christo Ollewagen,,On track,21/06/2022
omoya-hospitality-villa-design-fee,Omoya Hospitality Villa,Weylandts Property Holdings (Pty) Ltd,,On track,05/05/2026
omoyo-product,Omoyo,Private Client,,On track,25/04/2026
onrus-design-fee,Onrus,Watermarc,,On track,05/11/2024
oster-switches,Oster,Ellis & Associates,,On track,03/02/2025
ovd-541-bar-led,OVD 541,Mr.Dirk Stroeer,,On track,02/10/2025
owloon-art-spots,Owloon,Clinton Savage Interiors,,On track,17/02/2026
patel-decorative-lighting,Patel,Loredana Morton Interiors,,On track,22/10/2025
philip-olmesdahl-desk-lamp,Philip Olmesdahl,SAOTA,,On track,30/04/2026
pinetree-crescent-architectural-led-lighting,Pinetree Crescent,SAOTA,,On track,13/02/2026
rd-led-demo-ceiling-and-joinery,R&D - LED Demo (Ceiling and Joinery),One to One,,On track,25/06/2026
rd-led-demo-wellshow-led,R&D - LED Demo (Wellshow LED),One to One,,On track,26/06/2026
ramenhead-ceiling-micro-track,Ramenhead,Boschendal,,On track,30/06/2026
reid-exterior-downlighters,Reid,Zs Architects,,On track,10/03/2026
reid-stanford-decorative-lighting,Reid Stanford,Zs Architects,,On track,10/06/2026
replacements-kalahari-brown-wall-lights,Replacements Kalahari,MDSA Projects & Construction Management,,On track,18/12/2025
restio-river-house-games-room-replacement-track-light,Restio River House,SAOTA,,On track,24/07/2025
reyburn-general-lighting,Reyburn,Wynand Wilsenach Architects,,On track,03/10/2025
rickety-bridge-luxeline-wall-light,Rickety Bridge,Luxeline,,On track,23/06/2025
rietspruit-architectural-lighting,Rietspruit,SAOTA,,On track,03/03/2026
river-house-architectural-lighting,River House,SAOTA,,On track,01/04/2025
rob-sylvester-home-ceiling-step-led,Rob Sylvester Home,Rob Sylvester,,On track,20/08/2025
robert-ag-landscape-lighting-options,Robert AG,Robert AG,,On track,18/11/2025
rory-trollip-general-lighting,Rory Trollip,Rory Trollip,,On track,25/06/2026
roux-general-lighting,Roux,House Of Kitchens,,On track,15/05/2026
saad-landscape-lighting,Saad,Ashleigh Saad,,On track,03/07/2025
sanctuary-5-ceiling-lighting,Sanctuary 5,Three14 Architects,,On track,15/04/2026
saota-libraryextras-1,SAOTA,Saota,,On track,14/04/2026
sassoon-general-lighting,Sassoon,Jacobs Parker Architecture,,On track,27/02/2026
sea-hare-ceiling-led,Sea Hare,Woodwork Specialist,,On track,02/06/2026
seerus-design-fee,Seerus,Malherbe Rust Architects,,On track,14/03/2023
sikwila-basement-ceiling-led,Sikwila,Steyn City,,On track,19/06/2026
silverboom-kloof-guest-lodgesextra-drivers,Silverboom Kloof,OBW Family Trust,,On track,17/04/2026
singita-freight-to-pretoria,Singita,Private Client,,On track,19/02/2026
south-villa-602-gym-replacement-led,South Villa 602,Studio Good,,On track,06/03/2024
southern-guild-led-lamps,Southern Guild,Southern Guild,,On track,22/06/2026
spier-main-building-general-lighting-first-floor-roof-bar-phase-1,Spier Main Building,Fusion,,On track,16/09/2024
spier-villa-2-general-lighting,Spier Villa 2,Fusion,,On track,03/12/2024
spier-wine-farm-led,Spier Wine Farm,Fusion,,On track,10/09/2024
st-francis-dmx-cable,St Francis,Rob Sylvester,,On track,04/11/2025
stanford-house-corfe,Stanford (House Corfe),Grant Anderson,,On track,29/01/2026
steenberg-exterior-lighting-return-to-supplier,Steenberg,Private Client,,On track,15/09/2025
stefan-pool-table-light,Stefan,Private Client,,On track,01/06/2026
stefan-antoni-general-lighting-floor-lamp,Stefan Antoni,SAOTA,,On track,19/05/2026
stellenbosch-nandos-exterior-features-drive-through-design-fee,Stellenbosch Nando's,CHICKENLAND (PTY) LTD,,On track,09/09/2025
stengl-extras-1,Stengl,Dominique Stengle,,On track,25/06/2026
stillbaai-sp18-bollards,StillBaai SP18,Stefan Antoni,,On track,13/03/2026
stoep-huis-ceiling-fans,Stoep Huis,Ludwig Hansen Architects,,On track,20/10/2025
strydom-landscape-replacement,Strydom,DC Architects,,On track,08/05/2026
stylianou-ceiling-led,Stylianou,Grobler Architects,,On track,13/05/2026
sv1-backlit-marble-extras-3,SV1,Svelte Holdings,,On track,11/12/2025
swallows-nest-attic-stock,Swallows Nest,HFO,,On track,19/01/2026
swanepoel-exterior-wall-lights-extras,Swanepoel,Wynand Wilsenach Architects,,On track,16/03/2026
swartzberg-decorative-lighting,Swartzberg,Ellis & Associates,,On track,11/05/2026
,Tambor 9,,,On track,TBD
taryn-van-rooyen-general-lightingspike-lights,Taryn Van Rooyen,Chapmans Seafood Company,,On track,25/06/2026
the-president-hotel-conference-room-leds,The President Hotel,The President Hotel,,On track,03/07/2026
tim-harbich-facade-led,Tim Harbich,Dc Architects,,On track,05/09/2025
topat-replacement-fittings-and-led,Topat,Private Client,,On track,26/02/2026
topat-simons-town-wall-light-replacement-spares,Topat Simons Town,Yves Electrical,,On track,01/12/2025
twin-towers-picture-light,Twin Towers,John Jacob Interiors,,On track,04/05/2026
union-house-consulting-design-fee,Union House,Private Client,,On track,30/07/2025
upper-albert-faulty-replacement-spikes,Upper Albert,SAOTA,,On track,27/10/2025
,Upper Primrose,,,On track,TBD
van-niekerk-replacement-landscape-drivers,Van Niekerk,Bright Idea Electrical,,On track,24/11/2025
van-ryns-brandy-distillery-tasting-room,Van Ryn's Brandy,Van Ryn's,,On track,04/05/2026
villa-hk-design-fee,Villa HK,Kapset Group,,On track,10/06/2026
villa-r11-international-design-fee,Villa R11,KOA,,On track,05/12/2024
,Villa Z,,,On track,TBD
waters-edge-26-design-fee,Water's Edge 26,Boss Artichects,,On track,26/05/2022
waters-edge-28,Waters Edge 28,Boss Artichects,,On track,25/04/2024
wynand-wilsenach-architects-led-drivers-for-wynand,Wynand Wilsenach Architects (LED Drivers For Wynand),Wynand Wilsenach Architects,,On track,17/06/2026
wynand-wilsenacht-architects-spike-lights-for-wynand,Wynand Wilsenacht Architects (Spike Lights For Wynand),Wynand Wilsenacht Architects,,On track,08/06/2026
new-project,,,Dani,Draft,—
